"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",35,2013,198.47215830579844,33335.05553266067
"USA",36,2013,5111.75273234103,1780323.032433638
"USA",37,2013,17184.647883272944,6404403.405012482
"USA",38,2013,72449.82403861059,74958107.49932821
"USA",39,2013,8809.52754817818,3054225.15500535
"USA",40,2013,104.53206011470408,36544.542785954975
"USA",41,2013,78100.31244810807,37286721.565519266
"USA",42,2013,15881.171202171921,5480816.728473926
"USA",43,2013,22579.405380433378,7734639.777429886
"USA",44,2013,80394.76945920363,36119600.29188767
"USA",45,2013,2220.6416786909394,561411.5079860423
"USA",46,2013,1794.886017700643,634641.3231126049
"USA",47,2013,54944.948524642736,23799391.322533105
"USA",48,2013,61955.202340398784,44061385.57001201
"USA",49,2013,7798.919290886826,2884765.7126573264
"USA",50,2013,14785.995543002733,3728383.728111817
"USA",51,2013,17320.35310769117,3705967.1483522556
"USA",1,2014,150691.8026820523,71988079.22545758
"USA",2,2014,76754.72705413928,9138111.48793752
"USA",3,2014,4783.1273070150255,1167310.646044264
"USA",4,2014,79003.88373456961,39113846.03224086
"USA",5,2014,110649.55144788373,67900616.94145001
"USA",6,2014,9253.808469890779,3292730.432417522
"USA",7,2014,775.1741202776685,280302.5053818852
"USA",8,2014,618.9239791874779,268454.1055486909
"USA",9,2014,0.962651876712279,316.10343233169726
"USA",10,2014,76683.69282080645,32091830.059053235
"USA",11,2014,159348.04105526142,76759912.39328678
"USA",12,2014,1083.6127433763631,523460.9897554824
"USA",13,2014,53721.99326810203,18240285.369493518
"USA",14,2014,1085.5020418139316,284216.12712620967
"USA",15,2014,1395.4188432957471,459474.0939103473
"USA",16,2014,1022.015781166076,240667.25806089063
"USA",17,2014,1410.0740271085804,289516.2529459878
"USA",18,2014,9391.793562756344,3308529.9876413746
"USA",19,2014,86691.83242589382,47753919.920352526
"USA",20,2014,44011.8387221704,13620375.685317893
"USA",21,2014,1965.8260635394483,801419.4208128187
"USA",22,2014,1954.288197411536,754164.9209107461
"USA",23,2014,27852.513364799215,7457770.370166939
"USA",24,2014,31644.647127735418,7180093.513365006
"USA",25,2014,112791.71076290114,52561304.54987838
"USA",26,2014,13278.390386846848,3696909.044093966
"USA",27,2014,21894.535619905586,7752509.7132001445
"USA",28,2014,1082.8445328272196,257788.3894028532
"USA",29,2014,2398.3497830324895,445126.8860617893
"USA",30,2014,6762.484690609357,2628894.9897010517
"USA",31,2014,1684.8442312092852,480543.3348736179
"USA",32,2014,7150.172931090235,1924695.7376360558
"USA",33,2014,7388.280806258032,2439428.0421061525
"USA",34,2014,93113.34102076152,41868779.73779005
"USA",35,2014,149.50173392760342,28166.95050230204
"USA",36,2014,5998.841978487891,2109794.1081938236
"USA",37,2014,19572.358832221056,7227248.214645678
"USA",38,2014,82980.40619628155,82226545.16049482
"USA",39,2014,10429.133590404797,3684640.1760699223
"USA",40,2014,144.5587066906096,47689.26089612571
"USA",41,2014,87998.94730519158,44575399.99440253
"USA",42,2014,29203.610004462153,10665820.131838316
"USA",43,2014,22244.720764198042,7983456.227190789
"USA",44,2014,89540.3506530791,39954584.197233394
"USA",45,2014,1965.6593011531538,510772.9188689136
"USA",46,2014,2558.6940154239314,914785.5689717261
"USA",47,2014,61267.848982319,27098757.935355954
"USA",48,2014,80732.8292310577,49959053.58536073
"USA",49,2014,13025.27033111385,4857503.874376695
"USA",50,2014,17897.513897228306,4683243.179936341
"USA",51,2014,11476.555369453114,3356678.2038872954
"USA",1,2015,135413.88933255267,68691430.32915127
"USA",2,2015,739736.0594926714,68173900.38152573
"USA",3,2015,3858.698297647145,1045955.2389151596
"USA",4,2015,73699.98972938854,37213291.41324372
"USA",5,2015,83419.78475355761,45548210.72930191
"USA",6,2015,6077.228782049302,2452176.4793946324
"USA",7,2015,788.5311911262218,299828.50898136356
"USA",8,2015,624.76244761287,261197.2100569744
"USA",9,2015,2.0466764062674163,566.2729377393392
"USA",10,2015,71991.23873394594,32148685.999057103
"USA",11,2015,143697.08762167915,73767941.24085008
"USA",12,2015,1817.7297152209696,848056.9863790874
"USA",13,2015,46955.94723562774,16260073.09968976
"USA",14,2015,879.0746056127554,239896.51168597498
"USA",15,2015,1452.37584561301,471182.8711101502
"USA",16,2015,290.52189133691513,72417.73936729186
"USA",17,2015,541.683618635582,110874.73209164587
"USA",18,2015,10563.360642559406,3781422.3992012665
"USA",19,2015,78398.98095308387,44023076.029598564
"USA",20,2015,46084.56313258071,14430130.387353685
"USA",21,2015,2427.8277907259076,1014728.0722659774
"USA",22,2015,2620.5341199070963,1040005.0483956883
"USA",23,2015,28242.88998158974,7520115.054790763
"USA",24,2015,33681.149739362816,7806937.146985127
"USA",25,2015,105140.4047673633,50970139.845611736
"USA",26,2015,9015.022188712228,2708571.0409281026
"USA",27,2015,40356.0815436909,10731858.892950336
"USA",28,2015,517.4063782096903,119305.72375308308
"USA",29,2015,429.72685263991093,95665.57076639557
"USA",30,2015,7431.986437794373,2971003.177669923
"USA",31,2015,1073.3407584815427,323865.4367595664
"USA",32,2015,1881.9271926082517,550684.0958169034
"USA",33,2015,7696.290135643192,2620641.9471406485
"USA",34,2015,95702.85411197618,43466737.08985214
"USA",35,2015,4.748969717537026,1190.7771478720836
"USA",36,2015,6739.32466909426,2412224.959284759
"USA",37,2015,15618.527237699365,6093899.884125544
"USA",38,2015,82134.27278141586,74310354.50344487
"USA",39,2015,10856.576340595357,3880434.6646577097
"USA",40,2015,208.6394001141037,71908.4856670788
"USA",41,2015,80316.72575184856,42151118.59908947
"USA",42,2015,7582.453994656786,2632001.290030735
"USA",43,2015,25842.849931138488,9457012.58841691
"USA",44,2015,70186.199318829,33824495.5005226
"USA",45,2015,1035.7554183243597,318491.9411024431
"USA",46,2015,2552.5307915348367,954868.6181911153
"USA",47,2015,63549.25466087147,29279526.072179258
"USA",48,2015,107249.73245203988,54379738.21412212
"USA",49,2015,13529.46691930438,5206293.82357011
"USA",50,2015,17076.50824350674,4529748.757876684
"USA",51,2015,2654.564344887568,803244.524315866
"USA",1,2016,163520.91314498114,84363983.5761032
"USA",2,2016,247787.4717183003,25849393.768425915
"USA",3,2016,10368.49950247071,2069257.0043539056
"USA",4,2016,90368.67480870683,46343443.40472833
"USA",5,2016,163421.97744806725,106936816.4477883
"USA",6,2016,8550.436853278265,2031775.6267744894
"USA",7,2016,1749.1658582141886,664704.257518648
"USA",8,2016,860.8506708610432,373604.604465717
